市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IC1805,2018-03-19,6063.0000,6114.4000,6012.2000,6044.8000,81.00,81.00,98078880.00,6040.2000,6092.2000,-47.4000,-52.0000
SF,IC1805,2018-03-20,6010.2000,6098.6000,5988.2000,6060.0000,163.00,178.00,215205240.00,6080.2000,6040.2000,19.8000,40.0000
SF,IC1805,2018-03-21,6090.4000,6140.2000,5992.6000,6008.2000,174.00,106.00,128841920.00,6037.2000,6080.2000,-72.0000,-43.0000
SF,IC1805,2018-03-22,6024.8000,6055.4000,5962.8000,5989.0000,292.00,214.00,257194840.00,5996.2000,6037.2000,-48.2000,-41.0000
SF,IC1805,2018-03-23,5811.4000,5879.2000,5605.0000,5646.2000,498.00,378.00,434770040.00,5641.4000,5996.2000,-350.0000,-354.8000
SF,IC1805,2018-03-26,5644.8000,5804.4000,5598.0000,5803.0000,511.00,217.00,247420480.00,5775.6000,5641.4000,161.6000,134.2000
SF,IC1805,2018-03-27,5867.2000,5962.4000,5856.6000,5957.2000,577.00,198.00,234351160.00,5929.4000,5775.6000,181.6000,153.8000
SF,IC1805,2018-03-28,5907.0000,5929.0000,5850.0000,5874.8000,622.00,233.00,274372120.00,5874.0000,5929.4000,-54.6000,-55.4000
SF,IC1805,2018-03-29,5924.8000,5970.8000,5852.8000,5970.8000,661.00,281.00,332283520.00,5942.6000,5874.0000,96.8000,68.6000
SF,IC1805,2018-03-30,6000.0000,6059.8000,5977.4000,6059.8000,710.00,279.00,335645720.00,6034.2000,5942.6000,117.2000,91.6000
SF,IC1805,2018-04-02,6059.8000,6114.8000,6026.0000,6042.0000,703.00,185.00,224807720.00,6042.2000,6034.2000,7.8000,8.0000
SF,IC1805,2018-04-03,5962.2000,6002.2000,5920.0000,5979.6000,919.00,355.00,423304200.00,5970.0000,6042.2000,-62.6000,-72.2000
SF,IC1805,2018-04-04,6010.6000,6035.0000,5914.6000,5934.2000,929.00,210.00,251062360.00,5933.4000,5970.0000,-35.8000,-36.6000
SF,IC1805,2018-04-09,5932.0000,6004.0000,5887.2000,5937.0000,1184.00,533.00,633763000.00,5944.8000,5933.4000,3.6000,11.4000
SF,IC1805,2018-04-10,5945.0000,6008.8000,5917.2000,6001.2000,1451.00,628.00,748402360.00,5982.2000,5944.8000,56.4000,37.4000
SF,IC1805,2018-04-11,6030.0000,6054.6000,6005.0000,6011.6000,1715.00,623.00,751602600.00,6017.4000,5982.2000,29.4000,35.2000
SF,IC1805,2018-04-12,6011.6000,6039.8000,5962.4000,5982.0000,2210.00,901.00,1081838880.00,5979.2000,6017.4000,-35.4000,-38.2000
SF,IC1805,2018-04-13,6000.0000,6037.0000,5940.0000,5958.0000,2685.00,1296.00,1551459840.00,5961.6000,5979.2000,-21.2000,-17.6000
SF,IC1805,2018-04-16,5994.4000,6005.0000,5891.4000,5942.6000,3726.00,1998.00,2378532880.00,5928.6000,5961.6000,-19.0000,-33.0000
SF,IC1805,2018-04-17,5949.4000,5982.0000,5810.8000,5839.2000,5859.00,3648.00,4294663960.00,5839.4000,5928.6000,-89.4000,-89.2000
SF,IC1805,2018-04-18,5861.0000,5949.0000,5762.8000,5906.2000,9995.00,6906.00,8092723840.00,5924.0000,5839.4000,66.8000,84.6000
SF,IC1805,2018-04-19,5915.2000,6018.8000,5912.2000,5950.0000,14812.00,8722.00,10409011400.00,5962.0000,5924.0000,26.0000,38.0000
