市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IF1308,2013-06-24,2300.0000,2300.0000,2134.0000,2135.0000,914.00,7406.00,4934954940.00,2162.2000,2304.0000,-169.0000,-141.8000
SF,IF1308,2013-06-25,2134.8000,2153.0000,2002.4000,2116.6000,1777.00,14351.00,9037737540.00,2126.2000,2162.2000,-45.6000,-36.0000
SF,IF1308,2013-06-26,2132.0000,2155.0000,2097.8000,2125.4000,1887.00,8356.00,5319033480.00,2121.8000,2126.2000,-0.8000,-4.4000
SF,IF1308,2013-06-27,2134.4000,2181.4000,2097.8000,2121.2000,2378.00,12429.00,7994606160.00,2121.8000,2121.8000,-0.6000,0.0000
SF,IF1308,2013-06-28,2124.0000,2217.2000,2100.0000,2163.2000,2674.00,16881.00,10909323300.00,2144.2000,2121.8000,41.4000,22.4000
SF,IF1308,2013-07-01,2158.0000,2168.2000,2107.0000,2159.0000,3470.00,11307.00,7282803900.00,2158.8000,2144.2000,14.8000,14.6000
SF,IF1308,2013-07-02,2159.0000,2168.4000,2129.4000,2155.0000,3914.00,10063.00,6495722880.00,2155.4000,2158.8000,-3.8000,-3.4000
SF,IF1308,2013-07-03,2155.0000,2155.0000,2104.0000,2132.0000,4331.00,12928.00,8260070100.00,2138.2000,2155.4000,-23.4000,-17.2000
SF,IF1308,2013-07-04,2132.6000,2199.8000,2108.6000,2153.2000,5989.00,18170.00,11706964500.00,2153.4000,2138.2000,15.0000,15.2000
SF,IF1308,2013-07-05,2160.2000,2182.0000,2152.0000,2152.8000,7015.00,13242.00,8602525440.00,2156.4000,2153.4000,-0.6000,3.0000
SF,IF1308,2013-07-08,2139.0000,2139.6000,2087.4000,2107.2000,7436.00,19539.00,12404930460.00,2109.4000,2156.4000,-49.2000,-47.0000
SF,IF1308,2013-07-09,2110.4000,2119.8000,2102.0000,2105.4000,8808.00,14693.00,9310597140.00,2110.6000,2109.4000,-4.0000,1.2000
SF,IF1308,2013-07-10,2106.6000,2178.2000,2091.0000,2176.8000,10290.00,29032.00,18584690760.00,2158.0000,2110.6000,66.2000,47.4000
SF,IF1308,2013-07-11,2194.0000,2348.0000,2185.8000,2309.4000,12515.00,62606.00,42511927920.00,2300.6000,2158.0000,151.4000,142.6000
SF,IF1308,2013-07-12,2307.4000,2310.6000,2244.2000,2261.6000,13224.00,52268.00,35798898540.00,2259.0000,2300.6000,-39.0000,-41.6000
SF,IF1308,2013-07-15,2278.8000,2330.0000,2256.2000,2283.8000,17703.00,109374.00,75159633060.00,2283.2000,2259.0000,24.8000,24.2000
SF,IF1308,2013-07-16,2285.0000,2295.0000,2250.2000,2289.8000,25311.00,148199.00,101185423260.00,2281.4000,2283.2000,6.6000,-1.8000
SF,IF1308,2013-07-17,2279.6000,2317.4000,2262.0000,2264.2000,36341.00,335868.00,230667619620.00,2270.6000,2281.4000,-17.2000,-10.8000
SF,IF1308,2013-07-18,2265.2000,2268.8000,2213.0000,2229.6000,43230.00,746212.00,500743079340.00,2232.8000,2270.6000,-41.0000,-37.8000
SF,IF1308,2013-07-19,2236.2000,2244.4000,2148.8000,2155.0000,59882.00,922230.00,610916643360.00,2166.0000,2232.8000,-77.8000,-66.8000
SF,IF1308,2013-07-22,2140.0000,2181.4000,2124.0000,2168.0000,59841.00,852452.00,552173126160.00,2170.0000,2166.0000,2.0000,4.0000
