市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IH1507,2015-05-18,3027.4000,3038.6000,2949.4000,2954.0000,652.00,3472.00,3125662560.00,2969.2000,3077.6000,-123.6000,-108.4000
SF,IH1507,2015-05-19,2974.0000,3131.4000,2958.4000,3128.2000,1274.00,6247.00,5753630880.00,3103.0000,2969.2000,159.0000,133.8000
SF,IH1507,2015-05-20,3130.0000,3204.2000,3089.2000,3129.0000,1535.00,7948.00,7487912340.00,3140.0000,3103.0000,26.0000,37.0000
SF,IH1507,2015-05-21,3139.2000,3185.0000,3126.0000,3179.0000,1655.00,4152.00,3927921240.00,3166.0000,3140.0000,39.0000,26.0000
SF,IH1507,2015-05-22,3183.0000,3299.0000,3183.0000,3295.0000,2430.00,7486.00,7294114620.00,3266.6000,3166.0000,129.0000,100.6000
SF,IH1507,2015-05-25,3294.4000,3430.2000,3279.0000,3409.0000,3609.00,8723.00,8797734660.00,3405.4000,3266.6000,142.4000,138.8000
SF,IH1507,2015-05-26,3416.4000,3458.4000,3377.8000,3422.8000,4084.00,11743.00,12058577160.00,3426.0000,3405.4000,17.4000,20.6000
SF,IH1507,2015-05-27,3448.0000,3503.4000,3352.2000,3392.0000,4349.00,9187.00,9426352620.00,3388.0000,3426.0000,-34.0000,-38.0000
SF,IH1507,2015-05-28,3401.0000,3422.8000,3105.8000,3152.0000,5189.00,15638.00,15426987120.00,3165.8000,3388.0000,-236.0000,-222.2000
SF,IH1507,2015-05-29,3166.0000,3189.2000,3048.6000,3112.6000,4819.00,12363.00,11623719420.00,3094.2000,3165.8000,-53.2000,-71.6000
SF,IH1507,2015-06-01,3104.0000,3338.2000,3078.6000,3336.4000,5436.00,12933.00,12513669180.00,3312.2000,3094.2000,242.2000,218.0000
SF,IH1507,2015-06-02,3325.0000,3354.6000,3225.2000,3307.0000,7219.00,15391.00,15197424600.00,3314.8000,3312.2000,-5.2000,2.6000
SF,IH1507,2015-06-03,3306.8000,3340.6000,3220.0000,3251.0000,7402.00,14679.00,14445563640.00,3278.2000,3314.8000,-63.8000,-36.6000
SF,IH1507,2015-06-04,3259.4000,3399.8000,3028.2000,3368.0000,7047.00,30423.00,29855389860.00,3313.0000,3278.2000,89.8000,34.8000
SF,IH1507,2015-06-05,3368.0000,3431.0000,3210.0000,3304.8000,8078.00,27347.00,27376804320.00,3318.4000,3313.0000,-8.2000,5.4000
SF,IH1507,2015-06-08,3319.8000,3554.2000,3290.4000,3550.0000,9859.00,29550.00,30496896360.00,3529.8000,3318.4000,231.6000,211.4000
SF,IH1507,2015-06-09,3548.6000,3585.0000,3400.8000,3425.8000,12453.00,42437.00,44230085280.00,3448.8000,3529.8000,-104.0000,-81.0000
SF,IH1507,2015-06-10,3410.0000,3462.6000,3361.2000,3379.4000,14354.00,32836.00,33570854700.00,3418.6000,3448.8000,-69.4000,-30.2000
SF,IH1507,2015-06-11,3383.4000,3429.6000,3347.0000,3380.2000,17588.00,30725.00,31166395200.00,3375.8000,3418.6000,-38.4000,-42.8000
SF,IH1507,2015-06-12,3390.2000,3429.4000,3352.0000,3427.0000,19357.00,30718.00,31242119880.00,3392.0000,3375.8000,51.2000,16.2000
SF,IH1507,2015-06-15,3426.0000,3441.6000,3265.0000,3276.2000,23438.00,54920.00,55048944780.00,3300.6000,3392.0000,-115.8000,-91.4000
SF,IH1507,2015-06-16,3274.8000,3311.0000,3168.2000,3207.2000,26680.00,74468.00,72555134580.00,3200.2000,3300.6000,-93.4000,-100.4000
SF,IH1507,2015-06-17,3230.0000,3250.0000,3174.0000,3221.6000,38326.00,113348.00,109184480880.00,3226.0000,3200.2000,21.4000,25.8000
