市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IC2006,2019-12-09 09:29:00.100,4851.2000,22210,0,12613120.000,13.000,-,-,-,-,4851.2000,4851.0000,4850.0000,4849.0000,4840.2000,4859.0000,4859.4000,4860.0000,4863.0000,4864.4000,3,1,1,1,2,1,1,1,1,4
SF,IC2006,2019-12-09 09:30:00.100,4849.0000,22216,6,20373440.000,8,7,1,空开,S,4840.2000,4840.0000,4831.0000,4825.0000,4820.6000,4844.8000,4848.2000,4849.6000,4849.8000,4850.2000,2,6,2,1,1,1,1,1,1,2
SF,IC2006,2019-12-09 09:30:00.600,4844.8000,22216,0,21342400.000,1,0,1,多换,S,4840.4000,4840.2000,4840.0000,4831.0000,4825.0000,4844.8000,4848.2000,4849.6000,4850.2000,4851.0000,1,2,6,2,1,1,2,2,2,1
SF,IC2006,2019-12-09 09:30:01.100,4840.2000,22217,1,25215520.000,4,2,2,空开,S,4841.2000,4840.0000,4831.0000,4830.0000,4828.8000,4843.8000,4844.6000,4848.2000,4849.6000,4850.2000,1,6,2,1,5,1,1,2,2,3
SF,IC2006,2019-12-09 09:30:01.600,4840.2000,22217,0,25215520.000,0,-,-,-,-,4841.2000,4840.0000,4831.0000,4830.0000,4828.8000,4843.6000,4843.8000,4848.2000,4849.6000,4850.2000,1,6,2,1,5,1,1,2,2,2
SF,IC2006,2019-12-09 09:30:02.100,4840.2000,22217,0,25215520.000,0,-,-,-,-,4841.2000,4840.0000,4831.0000,4830.0000,4828.8000,4843.6000,4843.8000,4847.2000,4848.2000,4849.6000,1,6,2,1,5,1,1,1,2,2
SF,IC2006,2019-12-09 09:30:02.600,4843.8000,22219,2,28121760.000,3,2,1,空开,S,4843.6000,4841.2000,4840.0000,4831.0000,4830.0000,4847.2000,4848.2000,4848.4000,4849.6000,4850.2000,1,1,6,2,1,1,2,1,2,2
SF,IC2006,2019-12-09 09:30:03.100,4843.6000,22220,1,31996640.000,4,2,2,空开,S,4843.8000,4841.2000,4840.0000,4831.0000,4830.0000,4847.2000,4848.2000,4848.4000,4849.6000,4850.2000,3,1,6,2,1,1,2,1,2,2
SF,IC2006,2019-12-09 09:30:03.600,4846.2000,22222,2,36841400.000,5,3,2,空开,S,4841.2000,4840.0000,4831.0000,4830.0000,4828.8000,4847.2000,4848.2000,4848.4000,4849.6000,4850.2000,1,6,2,1,5,2,2,1,2,2
SF,IC2006,2019-12-09 09:30:04.100,4846.2000,22222,0,36841400.000,0,-,-,-,-,4841.4000,4841.2000,4840.0000,4831.0000,4830.0000,4844.8000,4847.0000,4847.2000,4848.4000,4850.2000,1,1,6,2,1,1,1,2,1,2
SF,IC2006,2019-12-09 09:30:04.600,4844.8000,22223,1,37810360.000,1,1,0,双开,S,4843.0000,4841.4000,4841.2000,4840.0000,4831.0000,4844.6000,4844.8000,4847.2000,4848.4000,4850.0000,1,1,1,6,2,1,1,2,1,1
SF,IC2006,2019-12-09 09:30:05.100,4843.0000,22224,1,38778960.000,1,1,0,双开,S,4841.4000,4841.2000,4840.0000,4831.0000,4828.8000,4844.0000,4844.6000,4844.8000,4847.2000,4848.4000,1,1,6,2,5,1,1,1,1,1
SF,IC2006,2019-12-09 09:30:05.600,4843.4000,22224,0,40716240.000,2,1,1,多换,S,4841.4000,4841.2000,4840.0000,4831.0000,4828.8000,4843.8000,4844.0000,4847.2000,4848.0000,4848.4000,1,1,6,2,5,1,1,1,1,1
SF,IC2006,2019-12-09 09:30:06.100,4844.0000,22224,0,42653800.000,2,1,1,多换,S,4844.0000,4841.4000,4841.2000,4840.0000,4831.0000,4847.2000,4848.0000,4848.4000,4850.0000,4850.2000,3,1,1,6,2,1,1,1,1,1
