市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IF2003,2019-11-07 09:29:00.100,3974.6000,9918,0,0.000,0.000,-,-,-,-,3969.8000,3969.0000,3968.4000,3966.6000,3965.6000,3978.6000,3978.8000,3979.2000,3980.2000,3981.0000,1,1,1,1,3,3,2,4,3,5
SF,IF2003,2019-11-07 09:30:00.100,3974.6000,9918,0,0.000,0,-,-,-,-,3970.2000,3969.8000,3969.0000,3968.4000,3966.6000,3973.8000,3974.4000,3974.6000,3975.4000,3976.0000,12,1,1,1,1,2,3,1,1,2
SF,IF2003,2019-11-07 09:30:00.600,3974.6000,9918,0,1192380.000,1,0,1,多换,S,3970.4000,3970.2000,3970.0000,3969.8000,3969.0000,3973.4000,3973.6000,3975.4000,3976.0000,3976.8000,2,12,1,1,1,1,3,1,2,1
SF,IF2003,2019-11-07 09:30:01.100,3974.6000,9918,0,1192380.000,0,-,-,-,-,3972.2000,3970.4000,3970.2000,3970.0000,3969.8000,3973.2000,3973.4000,3973.6000,3975.4000,3976.0000,1,3,12,1,1,1,1,1,1,2
SF,IF2003,2019-11-07 09:30:01.600,3973.2000,9917,-1,2384340.000,1,0,1,双平,S,3970.8000,3970.4000,3970.0000,3969.8000,3969.0000,3973.4000,3973.6000,3975.4000,3976.0000,3976.8000,12,2,1,1,1,1,1,1,2,1
SF,IF2003,2019-11-07 09:30:02.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.0000,3970.0000,3969.8000,3969.0000,3966.6000,3972.8000,3973.0000,3973.6000,3975.4000,3976.0000,1,1,1,1,1,1,13,1,1,2
SF,IF2003,2019-11-07 09:30:02.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.0000,3970.0000,3969.8000,3969.0000,3966.6000,3973.0000,3973.6000,3976.0000,3978.4000,3978.8000,1,1,1,1,1,1,1,2,1,2
SF,IF2003,2019-11-07 09:30:03.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.2000,3971.0000,3970.0000,3969.8000,3966.6000,3973.0000,3973.6000,3976.0000,3978.4000,3978.8000,2,1,1,1,1,1,1,2,1,2
SF,IF2003,2019-11-07 09:30:03.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3966.6000,3972.6000,3973.0000,3973.6000,3976.0000,3978.4000,1,2,1,1,1,1,1,1,2,1
SF,IF2003,2019-11-07 09:30:04.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3966.6000,3973.0000,3973.6000,3976.0000,3978.4000,3978.8000,1,2,1,1,1,1,1,2,1,2
SF,IF2003,2019-11-07 09:30:04.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3966.6000,3972.6000,3973.0000,3973.6000,3976.0000,3978.4000,1,2,1,1,1,1,1,1,2,1
SF,IF2003,2019-11-07 09:30:05.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3966.6000,3973.6000,3976.0000,3978.4000,3978.8000,3984.0000,1,2,1,1,1,1,2,1,2,1
SF,IF2003,2019-11-07 09:30:06.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3966.6000,3973.2000,3973.6000,3976.0000,3978.4000,3978.8000,1,2,1,1,1,1,1,2,1,2
SF,IF2003,2019-11-07 09:30:06.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3965.0000,3973.2000,3973.6000,3976.0000,3978.4000,3978.8000,1,2,1,1,5,1,1,2,1,2
SF,IF2003,2019-11-07 09:30:07.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3965.0000,3973.2000,3973.6000,3976.0000,3978.4000,3981.6000,1,2,1,1,5,1,1,2,1,5
SF,IF2003,2019-11-07 09:30:07.600,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3969.6000,3973.0000,3973.2000,3973.6000,3976.0000,3978.4000,1,2,1,1,1,1,1,1,2,1
SF,IF2003,2019-11-07 09:30:08.100,3973.2000,9917,0,2384340.000,0,-,-,-,-,3971.4000,3971.2000,3970.0000,3969.8000,3969.6000,3972.6000,3973.0000,3973.6000,3976.0000,3978.4000,1,2,1,1,1,1,1,1,2,1
