代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元)
SH000854,2015-12-03,4447.4100,4532.6300,4447.3000,4532.6300,1939399200,25413597184.00
SH000854,2015-12-04,4508.8200,4544.1500,4471.5700,4503.0700,2043769600,26722000896.00
SH000854,2015-12-07,4514.1500,4549.4800,4494.2200,4534.7500,1764595800,23959291904.00
SH000854,2015-12-08,4498.6400,4501.1500,4406.7100,4409.9800,1698385200,22666893312.00
SH000854,2015-12-09,4390.8800,4448.8700,4388.9400,4421.3700,1340390900,20111251456.00
SH000854,2015-12-10,4418.9500,4443.2600,4386.4500,4394.3800,1427245000,21306157056.00
SH000854,2015-12-11,4375.0900,4403.2700,4334.2600,4360.7400,1395107100,18722527232.00
SH000854,2015-12-14,4310.3900,4486.9000,4303.6600,4486.9000,1987121400,23197243392.00
SH000854,2015-12-15,4482.1100,4517.2100,4472.8500,4494.3200,1651544900,20886216704.00
SH000854,2015-12-16,4504.0800,4534.2200,4486.8400,4509.9600,1694431800,22238629888.00
SH000854,2015-12-17,4542.1700,4616.7500,4542.1700,4616.7500,2592199200,31063105536.00
SH000854,2015-12-18,4607.0900,4622.1500,4561.3800,4602.3900,1996466000,26477858816.00
SH000854,2015-12-21,4611.5200,4655.4800,4606.0900,4649.1700,2151779000,25892315136.00
SH000854,2015-12-22,4669.7500,4723.6900,4665.4400,4723.6900,2465172800,29710577664.00
SH000854,2015-12-23,4716.3200,4716.9000,4649.9700,4663.2400,2288410800,28987439104.00
SH000854,2015-12-24,4657.4500,4681.7000,4606.4500,4673.8200,1938993600,25003534336.00
SH000854,2015-12-25,4677.4800,4696.0400,4644.1500,4680.8100,1678017600,23037528064.00
SH000854,2015-12-28,4682.8800,4698.9000,4538.5700,4538.5700,2149500000,27923494912.00
SH000854,2015-12-29,4530.9100,4581.8000,4514.6500,4581.8000,1517160300,18731804672.00
SH000854,2015-12-30,4598.2300,4622.0400,4568.0000,4620.9500,1554291000,19558348800.00
SH000854,2015-12-31,4626.1300,4635.4100,4546.0600,4546.0600,1422041500,17923508224.00
SH000854,2016-01-04,4540.0200,4549.9300,4159.1700,4159.6200,1405875200,16846357504.00
SH000854,2016-01-05,3980.6500,4189.7700,3967.5700,4126.5900,2098229600,23374221312.00
SH000854,2016-01-06,4133.5800,4267.2700,4133.5800,4267.0100,2352103600,23944638464.00
SH000854,2016-01-07,4185.4400,4185.4400,3878.0800,3883.8200,681160300,6338996224.00
SH000854,2016-01-08,3974.0600,4063.5500,3760.6300,3995.8900,2690398400,25368309760.00
SH000854,2016-01-11,3913.1700,3989.6000,3752.8300,3760.1100,2606084200,23695337472.00
SH000854,2016-01-12,3752.7900,3799.2900,3663.6400,3748.1400,2175300200,19008573440.00
SH000854,2016-01-13,3753.4500,3807.1800,3612.0200,3612.5800,2163779600,18816415744.00
SH000854,2016-01-14,3491.4800,3732.1800,3479.5500,3723.7400,2177943000,18914185216.00
SH000854,2016-01-15,3691.2100,3727.4700,3547.5200,3576.2900,2214906000,19770214400.00
SH000854,2016-01-18,3491.5000,3654.8100,3489.2300,3605.2200,1572986300,14878043136.00
SH000854,2016-01-19,3603.3200,3740.2600,3598.8200,3737.3700,1774043400,16906616832.00
SH000854,2016-01-20,3715.1300,3760.7300,3691.2800,3712.6500,1837301200,18348150784.00
