代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元)
SZ399682,2015-08-31,1492.1800,1494.9300,1452.6400,1470.8200,2891070000,40911306752.00
SZ399682,2015-09-01,1447.7300,1447.7300,1377.6500,1393.0800,2403203600,31485163520.00
SZ399682,2015-09-02,1324.6000,1422.9300,1322.4900,1371.4400,2465229000,31258261504.00
SZ399682,2015-09-07,1386.9600,1427.1600,1357.9100,1366.6500,2214519200,28687101952.00
SZ399682,2015-09-08,1355.9800,1422.1200,1338.3800,1417.8400,1894896800,23693957120.00
SZ399682,2015-09-09,1429.7400,1474.7800,1422.3300,1464.1900,2828260000,38997164032.00
SZ399682,2015-09-10,1442.3400,1468.9700,1435.0400,1440.1100,2076491600,28735062016.00
SZ399682,2015-09-11,1435.4600,1454.7200,1423.4100,1443.7200,1669434600,23361218560.00
SZ399682,2015-09-14,1455.7400,1462.0900,1342.6000,1345.9800,2198728400,27981789184.00
SZ399682,2015-09-15,1313.2900,1337.8300,1271.1800,1274.9300,1848735200,20944832512.00
SZ399682,2015-09-16,1283.8000,1365.4100,1276.8200,1361.5900,2058839200,24005718016.00
SZ399682,2015-09-17,1363.9100,1406.4700,1347.5300,1348.3800,2613396200,33312442368.00
SZ399682,2015-09-18,1360.5000,1374.8500,1341.0700,1364.6100,1848707600,23420919808.00
SZ399682,2015-09-21,1351.7100,1416.0200,1345.2300,1416.0200,2089357200,28004300800.00
SZ399682,2015-09-22,1420.1700,1435.8400,1403.9700,1420.4100,2329587600,31576627200.00
SZ399682,2015-09-23,1395.4800,1428.5300,1392.5100,1412.1700,2607596800,28610473984.00
SZ399682,2015-09-24,1418.9400,1435.3000,1409.2200,1428.0900,2278364000,29186129920.00
SZ399682,2015-09-25,1420.3200,1426.3300,1369.2700,1380.4300,2166272400,26680205312.00
SZ399682,2015-09-28,1382.5100,1405.1400,1362.7900,1403.5800,1411966300,17984083968.00
SZ399682,2015-09-29,1380.7200,1392.7100,1366.4600,1374.3900,1526412800,18348920832.00
SZ399682,2015-09-30,1382.1600,1390.2900,1367.0500,1384.1900,1309453100,17530654720.00
SZ399682,2015-10-08,1425.0700,1448.5900,1415.6700,1439.5500,2099948000,27725637632.00
SZ399682,2015-10-09,1439.9400,1474.8000,1437.6800,1468.7700,2393205400,32660054016.00
SZ399682,2015-10-12,1476.7900,1538.2400,1476.7900,1524.6800,3302720200,44177719296.00
SZ399682,2015-10-13,1512.6300,1546.5000,1507.6200,1542.8000,2776236200,38830391296.00
SZ399682,2015-10-14,1541.9500,1556.7600,1526.7100,1529.7900,2929150000,43618603008.00
SZ399682,2015-10-15,1524.7500,1573.3200,1523.9700,1573.3200,2827056800,41825648640.00
SZ399682,2015-10-16,1586.9900,1596.9100,1565.9000,1594.3500,3376916400,48357240832.00
SZ399682,2015-10-19,1601.7300,1605.6300,1567.5200,1586.7300,3162885200,48418762752.00
SZ399682,2015-10-20,1577.9200,1605.2800,1573.7200,1605.0900,2784767200,41698787328.00
SZ399682,2015-10-21,1600.3100,1603.2000,1491.9400,1496.4000,3540200800,51873972224.00
SZ399682,2015-10-22,1492.0600,1541.7300,1483.7800,1541.3000,2617535400,40986312704.00
SZ399682,2015-10-23,1547.8100,1593.1400,1540.3000,1584.7300,3160912000,59025965056.00
