代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元)
SH000070,2005-01-04,881.5100,881.5100,859.0200,867.0500,65743300,306180000.00
SH000070,2005-01-05,865.1300,866.1700,853.6900,860.1100,34644800,157376000.00
SH000070,2005-01-06,861.3000,863.7300,839.9300,847.0600,27215200,123847000.00
SH000070,2005-01-07,848.1500,860.6500,847.0600,860.6500,18923700,93244000.00
SH000070,2005-01-10,858.1100,858.1100,845.0700,853.2100,19247400,88312000.00
SH000070,2005-01-11,853.8900,866.0800,852.8300,862.7100,18884600,96997000.00
SH000070,2005-01-12,861.8600,862.1700,852.6200,862.1700,18180300,80226000.00
SH000070,2005-01-13,861.0300,861.0300,851.9500,856.2700,13173400,59611000.00
SH000070,2005-01-14,855.5000,869.6300,848.7700,849.2000,24594400,122437000.00
SH000070,2005-01-17,844.6400,844.6400,817.4900,821.5200,27040600,115064000.00
SH000070,2005-01-18,818.4600,822.8900,804.0800,814.6200,37072900,149872000.00
SH000070,2005-01-19,814.6200,821.2600,810.8500,813.5300,22169200,92999000.00
SH000070,2005-01-20,810.0300,820.3900,808.4500,811.8500,30585100,136988992.00
SH000070,2005-01-21,810.8100,841.9200,808.3300,835.4400,61081100,252754000.00
SH000070,2005-01-24,840.9300,852.8700,834.6300,851.8400,63812600,272177984.00
SH000070,2005-01-25,848.7600,860.3800,842.1300,860.3800,34564900,168948000.00
SH000070,2005-01-26,857.1000,863.0800,855.3700,855.9700,19525800,95984000.00
SH000070,2005-01-27,853.5600,856.1600,839.8900,846.6000,24619100,118133000.00
SH000070,2005-01-28,846.6000,847.3300,839.1400,840.9800,13813600,66838000.00
SH000070,2005-01-31,842.8900,844.3800,824.9600,826.1400,21622300,105204000.00
SH000070,2005-02-01,825.0900,833.9900,821.0200,821.8500,17986500,136916000.00
SH000070,2005-02-02,821.8300,877.0900,821.8300,874.6100,72900700,345811008.00
SH000070,2005-02-03,873.3200,897.2200,868.2300,881.1800,83042100,389371008.00
SH000070,2005-02-04,879.2100,908.7200,876.5500,899.0100,76992600,359585984.00
SH000070,2005-02-16,906.2500,925.9400,899.0500,911.0400,60990900,292700992.00
SH000070,2005-02-17,912.9200,912.9200,895.7200,901.6100,25073200,123136000.00
SH000070,2005-02-18,901.2700,916.7600,896.1000,896.2400,39219200,187814000.00
SH000070,2005-02-21,897.1600,922.6000,897.1600,921.8200,39958300,194727008.00
SH000070,2005-02-22,922.3300,938.0300,922.3300,931.8800,45585100,227648992.00
SH000070,2005-02-23,932.3000,939.7000,927.1700,931.5000,53514500,259440000.00
SH000070,2005-02-24,928.0800,928.0800,915.8200,925.7300,33648300,163916992.00
SH000070,2005-02-25,924.5500,946.8400,924.5500,931.2500,42974600,237660992.00
SH000070,2005-02-28,930.4900,941.3300,930.4000,936.3500,44995600,246931008.00
SH000070,2005-03-01,935.1200,938.1000,927.8700,935.6800,20522000,115836000.00
SH000070,2005-03-02,938.4000,955.0300,928.0200,930.2400,56011500,295620992.00
SH000070,2005-03-03,927.0300,929.9900,913.5400,929.0100,37313000,176214000.00
SH000070,2005-03-04,927.6300,935.1300,922.5100,923.7000,19757000,130984000.00
SH000070,2005-03-07,924.4300,937.6700,924.4300,934.5600,23637500,147390000.00
SH000070,2005-03-08,941.9600,961.1300,941.6200,949.0400,54173100,315198016.00
SH000070,2005-03-09,951.1500,959.0100,946.6100,951.4100,43482000,223423008.00
SH000070,2005-03-10,950.2300,950.2300,924.4300,926.8900,29712200,152138000.00
