代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元)
SZ399554,2013-06-06,3226.9300,3237.6200,3194.4500,3198.5600,708785100,11645413376.00
SZ399554,2013-06-07,3190.1100,3206.3000,3126.3900,3136.8000,944113300,14514278400.00
SZ399554,2013-06-13,3091.7700,3091.7700,3004.2600,3037.7700,1020678500,15977043968.00
SZ399554,2013-06-14,3044.2600,3078.7000,3037.2300,3074.0700,809067600,13599523840.00
SZ399554,2013-06-17,3082.9200,3088.5900,3050.8400,3054.0200,841106700,14499876864.00
SZ399554,2013-06-18,3060.6500,3078.5200,3033.6600,3072.2800,733693800,12419544064.00
SZ399554,2013-06-19,3060.7400,3060.7400,3009.1700,3051.4300,731778900,12398219264.00
SZ399554,2013-06-20,3036.6300,3036.6300,2956.0000,2959.3700,788147200,12517262336.00
SZ399554,2013-06-21,2912.4200,2994.3900,2898.4100,2978.0200,878167600,13788188672.00
SZ399554,2013-06-24,2965.0800,2965.0800,2798.3000,2807.9000,1291958500,18278694912.00
SZ399554,2013-06-25,2778.1900,2814.7200,2630.7700,2811.8700,1582686800,21497139200.00
SZ399554,2013-06-26,2817.4100,2826.2800,2768.9700,2821.0800,1238657300,17552171008.00
SZ399554,2013-06-27,2831.5400,2872.5300,2809.6100,2815.6200,1118580500,16497752064.00
SZ399554,2013-06-28,2805.3900,2908.1800,2800.9400,2879.0300,1312503000,16893605888.00
SZ399554,2013-07-01,2863.5300,2895.9000,2830.5700,2895.8400,934490600,12505526272.00
SZ399554,2013-07-02,2891.5900,2915.0800,2869.3900,2907.1100,947143500,13703888896.00
SZ399554,2013-07-03,2902.0200,2902.0200,2848.7700,2889.7400,984783000,13659031552.00
SZ399554,2013-07-04,2872.6800,2945.2100,2860.9700,2912.0000,954375900,13663390720.00
SZ399554,2013-07-05,2925.5300,2952.3200,2917.2800,2920.3900,791856900,11710169088.00
SZ399554,2013-07-08,2879.2400,2899.0100,2847.4100,2854.1800,701541900,9926668288.00
SZ399554,2013-07-09,2849.9900,2867.0000,2831.4500,2847.8700,612107800,7897615872.00
SZ399554,2013-07-10,2848.3900,2922.0200,2843.9900,2921.4000,818893200,12157270016.00
SZ399554,2013-07-11,2918.2500,3060.1300,2916.1700,3024.1400,1771745400,25373239296.00
SZ399554,2013-07-12,3018.3500,3036.5100,2961.3500,2964.4900,1264681800,18994262016.00
SZ399554,2013-07-15,2981.8200,3033.2700,2960.6200,3007.2100,1072965900,17106511872.00
SZ399554,2013-07-16,2998.8100,3018.4300,2968.6700,3017.4100,906881400,14241494016.00
SZ399554,2013-07-17,3011.9700,3027.7100,2977.5300,2980.5500,928387000,14216724480.00
SZ399554,2013-07-18,2968.8000,2981.9000,2928.4500,2935.4100,815638900,12188866560.00
SZ399554,2013-07-19,2936.4900,2948.2100,2864.9600,2868.2400,1301176900,17600894976.00
SZ399554,2013-07-22,2845.1000,2889.2100,2832.9700,2882.3800,992232500,13688952832.00
SZ399554,2013-07-23,2894.0500,2983.9800,2890.4700,2970.9800,1161809500,16812752896.00
SZ399554,2013-07-24,2957.7200,2974.9200,2919.5200,2965.4200,1085393900,17367015424.00
SZ399554,2013-07-25,2973.4400,2983.8200,2927.7100,2945.9100,944529500,15456102400.00
SZ399554,2013-07-26,2931.2300,2952.4300,2908.2300,2934.4900,764498900,12864720896.00
SZ399554,2013-07-29,2906.6500,2906.6500,2860.3300,2870.0000,848373300,13199093760.00
SZ399554,2013-07-30,2878.2000,2916.6600,2838.0800,2870.6300,842537200,13922574336.00
