,最新,持仓,成交额,成交量,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价
最新,1.0,0.0001927391043673858,-9.983931469658886e-05,-0.0003905512727715544,0.00047787840562355834,0.0004940622415608103,0.000533250972601838,0.0005626755330266674,0.0005843407728590816,0.00048402118896080605,0.0005080191026038184,0.000552923853167376,0.0005869863505695631,0.0006134220868951595
持仓,0.0001927391043673858,1.0,0.774038038377893,0.47058316186659394,0.22533775527250294,0.22567126826385822,0.22621729131941362,0.22689024814905603,0.2276583734166964,0.22405417557360321,0.22369167027164397,0.22307063447809894,0.2222770120973832,0.22133865676274894
成交额,-9.983931469658886e-05,0.774038038377893,1.0,0.4147018791102311,0.2861389663404357,0.2864008291135526,0.2868403924028289,0.2873856802140656,0.28801150797035135,0.2851171696760551,0.2848312949944569,0.28433026303255415,0.2836849323811725,0.2829136206897213
成交量,-0.0003905512727715544,0.47058316186659394,0.4147018791102311,1.0,0.1223452906163562,0.1224156838303979,0.12267253400915495,0.12300589585908628,0.12338370836546159,0.1216549159479191,0.12157779793074254,0.12129111441817911,0.12090893783926407,0.12046253162696875
买一价,0.00047787840562355834,0.22533775527250294,0.2861389663404357,0.1223452906163562,1.0,0.9999985128514912,0.9999955639457363,0.9999905080717716,0.999982606806363,0.9999915117448339,0.9999888670377096,0.9999829113152813,0.9999719141703807,0.9999535678138348
买二价,0.0004940622415608103,0.22567126826385822,0.2864008291135526,0.1224156838303979,0.9999985128514912,1.0,0.999997774313178,0.9999934899582895,0.9999863812372717,0.9999892402282625,0.9999863636572726,0.9999800323962421,0.999968545321629,0.9999496140761476
买三价,0.000533250972601838,0.22621729131941362,0.2868403924028289,0.12267253400915495,0.9999955639457363,0.999997774313178,1.0,0.9999970723221004,0.9999914382622898,0.999984744018212,0.9999815075099345,0.9999745597402341,0.9999622748095386,0.9999423969598739
买四价,0.0005626755330266674,0.22689024814905603,0.2873856802140656,0.12300589585908628,0.9999905080717716,0.9999934899582895,0.9999970723221004,1.0,0.9999963442130039,0.9999777605227093,0.9999740713392428,0.9999663550969373,0.9999530751731014,0.9999320186666301
买五价,0.0005843407728590816,0.2276583734166964,0.28801150797035135,0.12338370836546159,0.999982606806363,0.9999863812372717,0.9999914382622898,0.9999963442130039,1.0,0.9999676403797871,0.9999634296514389,0.9999548286105342,0.9999404088556986,0.9999179878839031
卖一价,0.00048402118896080605,0.22405417557360321,0.2851171696760551,0.1216549159479191,0.9999915117448339,0.9999892402282625,0.999984744018212,0.9999777605227093,0.9999676403797871,1.0,0.9999982387841596,0.999994093830938,0.9999854409446499,0.9999698909970526
卖二价,0.0005080191026038184,0.22369167027164397,0.2848312949944569,0.12157779793074254,0.9999888670377096,0.9999863636572726,0.9999815075099345,0.9999740713392428,0.9999634296514389,0.9999982387841596,1.0,0.9999969263333468,0.9999895176361127,0.9999751584793098
卖三价,0.000552923853167376,0.22307063447809894,0.28433026303255415,0.12129111441817911,0.9999829113152813,0.9999800323962421,0.9999745597402341,0.9999663550969373,0.9999548286105342,0.999994093830938,0.9999969263333468,1.0,0.9999951769131757,0.9999832740920331
卖四价,0.0005869863505695631,0.2222770120973832,0.2836849323811725,0.12090893783926407,0.9999719141703807,0.999968545321629,0.9999622748095386,0.9999530751731014,0.9999404088556986,0.9999854409446499,0.9999895176361127,0.9999951769131757,1.0,0.9999926876736822
卖五价,0.0006134220868951595,0.22133865676274894,0.2829136206897213,0.12046253162696875,0.9999535678138348,0.9999496140761476,0.9999423969598739,0.9999320186666301,0.9999179878839031,0.9999698909970526,0.9999751584793098,0.9999832740920331,0.9999926876736822,1.0
